recipe_id,recipe_name,ingredients_joined
579,Sandra's Persimmon Pudding,"1 cup persimmon pulp||1 egg, beaten||1 1/4 cups white sugar||1 cup all-purpose flour||1 1/4 cups milk||1/4 teaspoon baking soda||1 teaspoon baking powder||1/2 teaspoon ground cinnamon||1/4 teaspoon salt||1/4 cup butter, melted"
580,Spicy Persimmon Chutney,"1 1/2 cups cider vinegar||1 cup chopped onion||1 large Granny Smith apple - peeled, cored and chopped||1 cup golden raisins||3/4 cup white sugar||1/4 cup lemon juice||1 green chile pepper, seeded and minced||1 tablespoon minced fresh ginger root||1 tablespoon lemon zest||1 teaspoon ground coriander seed||1/8 teaspoon ground cloves||4 Fuyu persimmons, peeled and chopped"
581,Sweet Persimmon Fireside Cookies,"2 cups all-purpose flour||1/2 cup cake flour||1 teaspoon ground cinnamon||1 teaspoon ground ginger||1/2 teaspoon baking soda||1/4 teaspoon salt||1/2 cup unsalted butter||1 cup white sugar||1 tablespoon lemon zest||2 ripe persimmons, pureed||1 egg||1/4 cup confectioners' sugar"
582,Banana Chocolate Chip Bread,"2 cups all-purpose flour||1 teaspoon baking powder||1 teaspoon baking soda||1 teaspoon salt||3 ripe bananas, mashed||1 tablespoon milk||1 teaspoon ground cinnamon, or to taste||1 cup white sugar||1/2 cup butter, softened||2 large eggs||1 cup semisweet chocolate chips"
583,Joy's Easy Banana Bread,"3 ripe bananas, mashed||1 cup white sugar||1 egg||1/4 cup melted butter||1 1/2 cups all-purpose flour||1 teaspoon baking soda||1 teaspoon salt"
584,Banana Muffins,"1 1/2 cups all-purpose flour||1 teaspoon baking powder||1 teaspoon baking soda||1/2 teaspoon salt||3 large bananas, mashed||3/4 cup white sugar||1 egg||1/3 cup butter, melted"
585,Peanut Butter Banana Smoothie,"2 bananas, broken into chunks||2 cups milk||1/2 cup peanut butter||2 tablespoons honey, or to taste||2 cups ice cubes"
586,Janet's Rich Banana Bread,"1 cup white sugar||1/2 cup butter, melted||2 eggs||1 teaspoon vanilla extract||1 1/2 cups all-purpose flour||1 teaspoon baking soda||1/2 teaspoon salt||1/2 cup sour cream||1/2 cup chopped walnuts||2 medium bananas, sliced"
587,Bananas Foster,"1/4 cup butter||2/3 cup dark brown sugar||3 1/2 tablespoons rum||1 1/2 teaspoons vanilla extract||1/2 teaspoon ground cinnamon||3 bananas, peeled and sliced lengthwise and crosswise||1/4 cup coarsely chopped walnuts||1 pint vanilla ice cream"
588,Banana Cream Pie,"3/4 cup white sugar||1/3 cup all-purpose flour||1/4 teaspoon salt||2 cups milk||3 egg yolks, beaten||2 tablespoons butter||1 1/4 teaspoons vanilla extract||1 (9 inch) baked pastry shell, cooled||4 bananas, sliced"
589,Banana Oat Muffins,1 1/2 cups unbleached all-purpose flour||1 cup rolled oats||1/2 cup white sugar||2 teaspoons baking powder||1 teaspoon baking soda||1/2 teaspoon salt||1 egg||3/4 cup milk||1/3 cup vegetable oil||1/2 teaspoon vanilla extract||1 cup mashed bananas
590,Extreme Banana Nut Bread 'EBNB',"2 cups all-purpose flour||2 teaspoons baking soda||1 teaspoon salt||2 cups white sugar||1 cup butter, softened||2 cups mashed overripe bananas||4 large eggs, beaten||1 cup chopped walnuts"
591,Ultimate Banana Muffins,"1 1/2 cups all-purpose flour||1 teaspoon baking powder||1 teaspoon baking soda||1 teaspoon ground cinnamon||1/2 teaspoon salt||1 pinch ground nutmeg||3 bananas (ripe or very ripe work best)||1/2 cup white sugar||1/3 cup butter, melted||1/4 cup lightly packed brown sugar||1 large egg||1 teaspoon vanilla extract||1/4 cup chopped walnuts (Optional)"
592,Banana Crumb Muffins,"1 1/2 cups all-purpose flour||1 teaspoon baking soda||1 teaspoon baking powder||1/2 teaspoon salt||3 bananas, mashed||3/4 cup white sugar||1/3 cup butter, melted||1 egg, lightly beaten"
593,Banana Cake,1 1/2 cups mashed bananas||2 teaspoons lemon juice||3 cups all-purpose flour||1 1/2 teaspoons baking soda||1/4 teaspoon salt||2 1/8 cups white sugar||3/4 cup butter||3 eggs||2 teaspoons vanilla extract||1 1/2 cups buttermilk
594,Chocolate Banana Peanut Butter Protein Shake,"6 ice cubes||1 cup milk||1 banana||1 scoop chocolate-flavored protein powder||2 tablespoons peanut butter||1 tablespoon honey||1 teaspoon unsweetened cocoa powder, or more to taste"
595,Fruit and Yogurt Smoothie,1 cup strawberries||1 banana||1/2 cup yogurt||1/4 cup pineapple juice||1 1/2 teaspoons white sugar||1 teaspoon orange juice||1 teaspoon milk
596,Banana Pudding,"1 (8 ounce) package cream cheese, at room temperature||1 (14 ounce) can sweetened condensed milk||1 (5 ounce) package instant vanilla pudding mix||3 cups cold skim milk||1 teaspoon vanilla extract||1 (8 ounce) container frozen whipped topping, thawed||1/2 (12 ounce) package vanilla wafers||4 bananas, sliced"
597,Strawberry Oatmeal Breakfast Smoothie,"1 cup soy milk||1/2 cup rolled oats||14 frozen strawberries||1 banana, broken into chunks||1 1/2 teaspoons white sugar (Optional)||1/2 teaspoon vanilla extract (Optional)"
598,A-Number-1 Banana Cake,"2 1/2 cups all-purpose flour||1 tablespoon baking soda||1 pinch salt||1 cup white sugar||3/4 cup light brown sugar||1/2 cup unsalted butter, softened||2 eggs||4 ripe bananas, mashed||2/3 cup buttermilk||1/2 cup chopped walnuts"
599,Banana Sour Cream Bread,"3 1/4 cups white sugar, divided||3 teaspoons ground cinnamon, divided||3/4 cup butter||6 very ripe bananas, mashed||1 (16 ounce) container sour cream||3 eggs||2 teaspoons vanilla extract||4 1/2 cups all-purpose flour||3 teaspoons baking soda||1/2 teaspoon salt||1 cup chopped walnuts (Optional)"
600,The Best Banana Bread,"1 cup white sugar||1/2 cup margarine, softened||2 eggs||1 1/2 cups mashed banana||2 cups all-purpose flour||1 teaspoon baking soda"
601,Spinach and Banana Power Smoothie,"1 cup plain soy milk||3/4 cup packed fresh spinach leaves||1 large banana, sliced"
602,Basic Fruit Smoothie,"1 quart strawberries, hulled||2 fresh peaches - peeled, pitted, and sliced||1 banana, broken into chunks||2 cups ice||1 cup orange-peach-mango juice"
603,Southern Style Banana Split Cake,"2 cups graham cracker crumbs||3/4 cup white sugar||1/4 pound butter, melted||2 (8 ounce) packages cream cheese||1 1/2 cups confectioners' sugar||4 bananas, sliced||1 (15 ounce) can crushed pineapple, drained||1 (16 ounce) container frozen whipped topping, thawed||1 (16 ounce) jar maraschino cherries, drained||12 ounces crushed peanuts"
604,Chocolate Banana Muffins,"1 1/2 cups all-purpose flour||1/4 cup unsweetened cocoa powder||1 1/2 teaspoons baking powder||1/2 teaspoon baking soda||1/2 teaspoon salt||1/2 cup white sugar||1/2 cup canola oil||1/4 cup milk||1 egg||1 teaspoon vanilla extract||2 large very ripe bananas, mashed||3/4 mini semisweet chocolate chips"
605,Vegan Banana Muffins,3 cups all-purpose flour||1 cup white sugar||1/2 cup brown sugar||2 teaspoons ground cinnamon||2 teaspoons baking powder||1 teaspoon baking soda||1 teaspoon ground nutmeg||1 teaspoon salt||2 cups mashed ripe bananas||1 cup canola oil||1 cup coconut milk
606,Pineapple and Banana Smoothie,"4 ice cubes||1/4 fresh pineapple - peeled, cored and cubed||1 large banana, cut into chunks||1 cup pineapple or apple juice"
607,Sarah's Banana Bread Muffins,"1 cup white sugar||1/2 cup vegetable oil||1 large egg||3 ripe bananas, mashed||1/4 cup chopped walnuts||2 cups all-purpose flour||1 teaspoon baking soda||1/2 teaspoon salt"
608,Air Fryer Roasted Bananas,"1 banana, sliced into 1/8-inch thick diagonals, avocado oil cooking spray"
609,Banana Chocolate Chip Cookies,"2 1/2 cups all-purpose flour||2 teaspoons baking powder||1/2 teaspoon salt||1/4 teaspoon baking soda||1 cup white sugar||2/3 cup butter, softened||1 cup mashed bananas||2 eggs||1 teaspoon vanilla extract||2 cups semisweet chocolate chips"
610,Best Yet Banana Mini Muffins,"cooking spray||1 1/2 cups all-purpose flour||1 teaspoon baking powder||1 teaspoon baking soda||3 bananas, mashed||3/4 cup white sugar||1/3 cup melted butter||1 egg, beaten"
611,Homemade Banana Pudding,"2/3 cup white sugar||1/3 cup all-purpose flour||1/4 teaspoon salt||3 eggs, beaten||2 cups milk||2 tablespoons butter, softened||1/2 teaspoon vanilla extract||2 bananas, peeled and sliced||1/2 (12 ounce) package vanilla wafer cookies"
612,Banana Pumpkin Bread,"2 ripe bananas, mashed||1 1/3 cups canned pumpkin puree||1/2 cup honey||1/2 cup white sugar||1/3 cup vegetable oil||2 large eggs||2 1/2 cups all-purpose flour||2 teaspoons pumpkin pie spice||1 teaspoon baking powder||1 teaspoon baking soda||1 teaspoon ground cinnamon||1/2 teaspoon salt||3/4 cup raisins (Optional)||1/2 cup walnut pieces (Optional)"
613,Banana Bread - Quick Bread for Machines,"2 bananas, peeled and halved lengthwise||2 cups all-purpose flour||3/4 cup white sugar||2 large eggs||3 tablespoons vegetable oil||1 teaspoon baking powder||1/2 teaspoon baking soda"
614,Banana Fritters,"2 bananas, mashed||1/2 cup milk||2 cups all-purpose flour||3 teaspoons baking powder||1/2 teaspoon salt||2 eggs, beaten||1 tablespoon margarine, melted||1 quart vegetable oil for frying||1/2 cup confectioners' sugar, or as needed"
615,Blueberry Banana Bread,"2 cups all-purpose flour||1 teaspoon baking soda||1/2 teaspoon salt||1 cup white sugar||1/2 cup butter, softened||2 large eggs||2 teaspoons vanilla extract||2 ripe bananas, mashed||1 cup fresh blueberries"
616,Almost No Fat Banana Bread,"cooking spray||1 1/2 cups all-purpose flour||3/4 cup white sugar||1 1/4 teaspoons baking powder||1/2 teaspoon baking soda||1/2 teaspoon ground cinnamon||1 cup banana, mashed||1/4 cup applesauce||2 egg whites"
617,Banana Chocolate Chip Cake,"1 1/2 cups all-purpose flour||2/3 cup white sugar||1 1/2 teaspoons baking powder||1/4 teaspoon salt||1 cup mashed bananas||1/2 cup unsalted butter, melted||1/4 cup milk||1 large egg||3/4 cup semisweet chocolate chips"
618,Hearty Breakfast Muffins,"2 carrots, shredded||2 bananas, mashed||1 zucchini, shredded||1/4 cup vegetable oil||1/4 cup yogurt||2 eggs||1 cup whole wheat flour||1 1/2 teaspoons baking soda||1/2 cup packed brown sugar||1/2 cup rolled oats||1/2 cup shredded coconut||1/2 cup chopped pecans||1/2 cup dried cherries||1 teaspoon ground cinnamon||1 teaspoon salt||1/2 teaspoon ground ginger"
619,Bob's Stuffed Banana Peppers,"8 banana peppers||2 tablespoons butter||1/2 cup chopped onion||1/2 cup chopped celery||1 (28 ounce) can crushed tomatoes||1 (8 ounce) can tomato sauce||2 cloves garlic, minced||2 1/2 teaspoons salt, divided||1 teaspoon dried basil||1 teaspoon dried oregano||1/2 teaspoon ground black pepper, divided||1/2 cup grated Parmesan cheese||1 large egg||1 teaspoon Worcestershire sauce||1 pound hot Italian sausage||1 pound mild Italian sausage||1 1/2 cups bread crumbs"
620,Easy Kids' Recipe for Fluffy Banana Cookies,"2 ripe bananas, mashed, or more to taste||1 1/2 cups all-purpose flour||1/2 cup white sugar, or more to taste||1/4 cup butter, melted||1/4 cup chopped walnuts (Optional)||1 egg||1 teaspoon baking soda||1/4 teaspoon salt||1 tablespoon white sugar"
621,Easy Mango Banana Smoothie,"2 mangos - peeled, seeded, and sliced||2 bananas||2 cups vanilla yogurt||2 cups milk"
622,Strawberry Banana Protein Smoothie,1 1/4 cups sliced fresh strawberries||1 banana||10 whole almonds||2 tablespoons water||1 cup ice cubes||3 tablespoons chocolate flavored protein powder
623,Baked Banana Chips,"2 just-ripe bananas, sliced in 1/10-inch-thick rounds, or more as needed||1 teaspoon lemon juice, or to taste"
624,Porridge,"2 1/2 cups water||1 cup rolled oats||1 tablespoon white sugar||1 teaspoon salt||2 bananas, sliced||1 pinch ground cinnamon||1/2 cup cold milk (Optional)"
625,Brown Sugar Banana Bread,"4 ripe bananas, cut into chunks||1 1/4 cups light brown sugar||1/2 cup butter, softened||1 egg||1 teaspoon cinnamon||1 teaspoon vanilla extract||1/4 cup whole milk||2 cups all-purpose flour||1/2 teaspoon baking soda||1 teaspoon baking powder||1/2 teaspoon kosher salt"
626,Hummingbird Cake,"3 cups all-purpose flour||2 cups white sugar||1 teaspoon baking soda||1 teaspoon salt||2 cups mashed bananas||1 1/2 cups canola oil||1 cup chopped black walnuts||1 (8 ounce) can crushed pineapple, drained||3 large eggs"
627,Clean Banana Oat Cookies,"2 bananas, mashed||1/4 cup milk||1 large egg, beaten||1 teaspoon honey||1/2 teaspoon vanilla extract||1 cup rolled oats, or as needed||1 teaspoon ground cinnamon||1/2 teaspoon baking powder||1/8 teaspoon salt"
628,Quick Banana Milkshake (Ice Cream Free),"3 ice cubes||1 cup milk||1 banana||1 tablespoon white sugar, or to taste||1 pinch ground cinnamon"
629,Banana Bran Muffins,"1/2 cup butter, softened||1/2 cup brown sugar||3 bananas, mashed||2 large eggs||1/4 cup milk||1 teaspoon vanilla extract||1 1/2 cups all-purpose flour||1/2 cup wheat bran||1 teaspoon baking powder||1 teaspoon baking soda||1/4 teaspoon salt||1/2 cup chopped walnuts"
630,Strawberry Orange Banana Smoothie,"1 cup fresh strawberries||3/4 cup orange juice||1 ripe banana||1 cup ice cubes, or as needed"
631,Banana Loaf,"1 cup white sugar||1/2 cup butter||2 large eggs||3 ripe bananas, mashed||2 cups all-purpose flour||1 teaspoon baking soda||1 teaspoon baking powder||1/2 teaspoon salt||1/2 cup chopped walnuts"
632,Southern-Style Baked Banana Pudding,4 large eggs
633,Healthy Chocolate Smoothie,2 very ripe bananas||1 cup milk||6 ice cubes||1 1/2 tablespoons unsweetened cocoa powder||1 tablespoon peanut butter||1 teaspoon vanilla extract
634,Simple Banana Bread,"cooking spray||2 cups all-purpose flour||1 teaspoon baking powder||1/2 teaspoon salt||4 ripe bananas, mashed||2 large eggs||2/3 cup white sugar||1/2 cup chopped walnuts"
635,Overnight Chia Oats,"1 cup Almond Breeze Vanilla almondmilk||1/2 cup rolled oats||1/2 medium banana, mashed||1 tablespoon chia seeds"
636,Easy Banana Brownies,"1/2 cup unsalted butter||2/3 cup semisweet chocolate chips||1 large egg||2/3 cup packed light brown sugar||1 small ripe banana, mashed||1/2 teaspoon vanilla extract||1/4 teaspoon salt||3/4 cup all-purpose flour"
637,Easy Banana Loaf Cake,"1 1/2 cups all-purpose flour||1 cup white sugar||1/4 cup butter, softened||1 teaspoon vanilla extract||1 teaspoon baking soda||1/2 teaspoon baking powder||1 egg||3 very ripe bananas"
638,Cream Cheese Banana Bread,cooking spray
639,Kiwi Jam,"24 kiwis, peeled and mashed||3/4 cup pineapple juice||1/4 cup fresh lemon juice||3 apples, unpeeled and halved||4 cups white sugar"
640,Kiwi Banana Apple Smoothie,"1 apple, roughly chopped||1 banana, broken into chunks||2 kiwifruit, peeled||1 1/4 cups milk||1/4 cup ice, or as desired||2 teaspoons chia seeds||1 teaspoon maca powder"
641,PHILADELPHIA® Fruit Pizza,"1 (16.5 ounce) package refrigerated sliceable sugar cookies, sliced||1 (8 ounce) package PHILADELPHIA Cream Cheese, softened||1/4 cup sugar||1/2 teaspoon vanilla||4 cups assorted cut-up fruit (kiwi, strawberries, blueberries, drained canned mandarin oranges)||1/4 cup apricot preserves, pressed through sieve to remove lumps||1 tablespoon water"
642,Fruit Pizza Even Better,"butter-flavored cooking spray||2 cups all-purpose flour||1/2 cup confectioners' sugar||1 cup cold butter||1 (8 ounce) package cream cheese, softened||1/3 cup white sugar||1 teaspoon almond extract||2 cups sliced fresh strawberries||1 cup fresh blueberries||1 kiwi, peeled and sliced||1 cup unsweetened pineapple juice||1/2 cup white sugar||2 tablespoons cornstarch||1 teaspoon lemon juice"
643,Fresh Fruit Tart with Mascarpone,"2 cups all-purpose flour||1 cup butter, softened||1/2 cup white sugar"
644,Poblano and Ground Pork Tacos,"1 red onion, halved and thinly sliced||1 Roma tomato, seeded and finely chopped||1 ripe kiwi, diced||1 lime, quartered, divided||2 tablespoons chopped cilantro, divided, salt and ground black pepper to taste||4 tablespoons sour cream, olive oil||1 poblano pepper - cored, seeded, and finely chopped||10 ounces ground pork||1 tablespoon Mexican seasoning||2 tablespoons chicken stock||1 tablespoon tomato paste||6 flour tortillas"
645,"Strawberry, Kiwi, and Spinach Salad","2 tablespoons raspberry vinegar||2 1/2 tablespoons raspberry jam||1/3 cup vegetable oil||8 cups spinach, rinsed and torn into bite-size pieces||1/2 cup chopped walnuts||8 strawberries, quartered||2 kiwis, peeled and sliced"
646,Supreme Green Smoothie,"2 cups Almond Breeze Hint of Honey almondmilk||1 cup green grapes||2 cups packed baby kale||1 large kiwi fruit, peeled and chopped||1 (10 ounce) package frozen pineapple chunks"
647,Furutsu Sando (Fruit Sandwiches),"1/2 cup heavy whipping cream||1 tablespoon powdered sugar||1/2 teaspoon vanilla extract||4 slices Japanese milk bread, crusts removed||1/2 cup sliced strawberries||1/2 cup peeled sliced kiwi||1/2 cup mandarin orange segments||1/2 cup halved seedless grapes"
648,Tropical Kiwi Ice Pops,"1 (14 ounce) can coconut milk||3 tablespoons white sugar||1 (8 ounce) can crushed pineapple||1 banana, chopped||1 cup chopped kiwi fruit"
649,Kiwi-Lime Pork Ribs,"2 kiwis, peeled and sliced||1/2 cup white sugar||2 tablespoons cider vinegar||2 tablespoons lime juice||2 tablespoons salt||2 tablespoons chili powder||2 tablespoons cornstarch||1 clove garlic, minced||1 (3 pound) package country-style pork ribs"
650,Caribbean Health Drink,"1 cup chopped carrot||1 banana||1 kiwi, peeled||1 apple - peeled, cored, and sliced||1 cup chopped pineapple||1 cup ice cubes"
651,Spicy Fruit Salsa,"5 kiwis, peeled and diced||1 quart strawberries, finely chopped||1 pint fresh blackberries, chopped||4 Granny Smith apples - peeled, cored and coarsely shredded||2 tablespoons any flavor fruit jelly||3/4 cup brown sugar||1 tablespoon cayenne pepper||3 tablespoons habanero hot sauce||1 (7 ounce) can green salsa||1/3 cup lime juice"
652,Pavlova Deluxe,"6 egg whites||1/8 teaspoon cream of tartar||1 cup white sugar||1 tablespoon cornstarch||2 teaspoons distilled white vinegar||1 1/4 cups heavy cream, chilled||1 teaspoon vanilla extract||2 teaspoons confectioners' sugar||4 passion fruits"
653,White Sangria with Kiwi,"1 (750 milliliter) bottle Chardonnay wine||1 liter club soda||3 tablespoons orange-flavored liqueur (such as Cointreau®)||2 tablespoons white sugar||1 cup seedless green grapes||2 kiwis, peeled and sliced||1 large pear, thinly sliced, ice cubes||8 sprigs mint"
654,Strawberry Kiwi Tartlets,"1 egg||2 teaspoons water||12 frozen puff pastry shells, thawed||1/3 cup strawberry preserves||2 pints fresh strawberries, sliced||4 kiwis, peeled and seeded||2 tablespoons honey||1/2 cup heavy cream||2 teaspoons confectioners' sugar"
655,LaWanna's Mango Salsa on Tilapia Fillets,"1/2 fresh pineapple - peeled, cored, and chopped||1/2 pound strawberries, quartered||3 kiwifruit, peeled and diced||1 large mango - peeled, seeded and diced||1/2 cup grape tomatoes||2 tablespoons finely chopped fresh cilantro||1 tablespoon balsamic vinegar||1 1/2 pounds tilapia fillets||1/2 teaspoon seasoned pepper blend"
656,A Drama Queen's Pavlova,"6 egg whites||1 pinch salt||1 1/2 teaspoons vinegar||2 cups castor sugar or superfine sugar||1 1/2 teaspoons vanilla extract||1/2 cup unsweetened flaked coconut (Optional)||2 cups sweetened whipped cream||1 cup fresh strawberries, sliced||2 kiwifruit, peeled, halved lengthwise, and sliced||1 fresh peach - peeled, pitted and sliced||1/2 cup fresh blueberries"
657,Creamy Kiwi Sandwich,"1 (8 ounce) package Neufchatel cheese||2 teaspoons lemon zest, finely chopped||2 tablespoons honey, or to taste||1 cup chopped kiwi fruit||16 slices whole wheat bread"
658,Char Siu (Chinese Barbeque Pork),"2 tablespoons honey||2 tablespoons Shaoxing cooking wine||1 tablespoon hoisin sauce||1 tablespoon pureed kiwi||1 tablespoon Chinese dark soy sauce||1 tablespoon Thai chile sauce||2 cloves garlic, grated||2 teaspoons oyster sauce||1/2 teaspoon Chinese five-spice powder||1 1/2 pounds pork belly, skin removed"
659,Strawberry-Kiwi Slush,"2 cups crushed ice||3/4 pint fresh strawberries, hulled||3/4 cup grape juice (such as Welch's®)||1 large kiwi fruit, peeled||1/4 cup water||1/4 cup lemon juice"
660,Lemon Pretzel Salad with Mango and Kiwi,"2 cups crushed pretzels||3/4 cup butter, melted||3 tablespoons brown sugar"
661,Simple Strawberry Salsa,"1 tablespoon lemon juice||1 1/2 teaspoons white sugar||1 cup finely chopped strawberries||1 (8 ounce) can unsweetened crushed pineapple, drained||3 kiwis, peeled and finely chopped||1 naval orange, peeled and cut into small pieces"
662,Kale with Kiwi,"2 teaspoons coconut oil||2 cloves garlic, chopped||1 teaspoon minced fresh ginger||1/4 teaspoon sea salt||1/2 teaspoon freshly ground black pepper||2 kiwis, peeled and coarsely chopped||1 tablespoon fresh oregano leaves||1 bunch lacinato (dinosaur) kale, washed and sliced thin||2 tablespoons blanched slivered almonds"
663,Crazy Fruit Smoothie,"1 1/2 cups crushed ice||1 banana, chopped||1 kiwi, peeled and chopped||1/2 cup chopped strawberries||1/2 cup chopped pineapple||1/4 cup cream of coconut||1 tablespoon coconut flakes for garnish"
664,Healthier Absolutely the Best Chocolate Chip Cookies,"1/2 cup butter||1 kiwi, pureed||1/2 cup brown sugar||1/2 cup white sugar||2 eggs||2 teaspoons Mexican vanilla extract||2 1/4 cups all-purpose flour||1 teaspoon baking soda||1 cup toasted oat cereal (such as Cheerios ®), smashed||2 cups milk chocolate chips"
665,Fruit Pizza Trifles To Go,"4 (8 ounce) packages reduced-fat cream cheese, softened||2 cups brown sugar||4 teaspoons vanilla extract||1 pound fresh strawberries, coarsely chopped||1 fresh pineapple - peeled, cored and chopped||1 pound seedless grapes, halved||1 pint blueberries||25 clear, plastic (10 ounce) cups||12 sugar cookies, crushed||2 kiwis, peeled and sliced"
666,Sweet Salsa and Cinnamon Chips,"10 frozen strawberries||2 kiwi, peeled and chopped||1/2 medium mango - peeled and diced||1 1/2 bananas, peeled and diced||3 (12 inch) flour tortillas, canola cooking spray||1 cup cinnamon sugar"
667,Tart Tropical Parfait,1 (5.3 ounce) container low-fat vanilla Greek yogurt||1/2 cup chopped kiwi||2 tablespoons chopped macadamia nuts||1 teaspoon agave nectar||1 teaspoon chopped fresh mint
668,Grilled Tilapia with Mango Salsa,"1/3 cup extra-virgin olive oil||1 tablespoon lemon juice||1 tablespoon minced fresh parsley||1 clove garlic, minced||1 teaspoon dried basil||1 teaspoon ground black pepper||1/2 teaspoon salt||2 (6 ounce) tilapia fillets"
669,Jicama Mango Salad with Cilantro and Lime,"1 large jicama, peeled and cut into matchsticks||1 small red bell pepper, cut into matchsticks||1 large firm mango, peeled and cut into matchsticks||1/2 red onion, cut into matchsticks"
670,Mango Jam,2 pounds ripe mangoes||1 1/2 cups white sugar||3/4 cup water||3 saffron threads (Optional)
671,Mango-Habanero Chicken Wings,"30 chicken wing sections||1 (12 ounce) can mango nectar||1/4 cup brown sugar||6 habanero peppers, stemmed||2 tablespoons soy sauce||1 tablespoon sriracha hot chili sauce||1 tablespoon rice vinegar||1 stick butter||3 cloves garlic, minced||2 tablespoons honey||1 cup cornstarch||2 cups vegetable oil for frying"
672,Mahi Mahi with Coconut Rice and Mango Salsa,"2 tablespoons olive oil||1 1/2 teaspoons soy sauce||2 teaspoons lemon juice||1 clove garlic, crushed||2 teaspoons red pepper flakes||1 teaspoon fresh ground black pepper||1/2 teaspoon minced fresh ginger root||2 tablespoons chopped green onion (Optional), salt to taste||4 (4 ounce) mahi mahi fillets||2 cups uncooked jasmine rice||2 cups water||1 cube chicken bouillon||1 tablespoon butter (Optional)||3/4 (14 ounce) can coconut milk||2 tablespoons white sugar||1 1/2 teaspoons butter (Optional)||1 1/2 tablespoons white sugar||1 1/2 cups fresh mango, cubed"
673,Mango Bread,2 cups all-purpose flour||2 teaspoons baking soda||2 teaspoons ground cinnamon||1/2 teaspoon salt||3 eggs||3/4 cup softened butter||1 1/4 cups white sugar||1 teaspoon vanilla extract||2 cups chopped mango||1/2 cup shredded coconut||1/4 cup chopped walnuts
674,White Peachy Sangria,"4 (750 milliliter) bottles moscato wine||4 (12 fluid ounce) cans or bottles lemon-lime soda (such as Sprite®)||1 cup brandy||1 cup peach schnapps||2 fresh peaches, pitted and sliced||1 (16 ounce) package fresh strawberries, sliced||2 mangos - peeled, seeded, and sliced||1/2 fresh pineapple - peeled, cored, and cut into chunks||1 (6 ounce) container fresh raspberries"
675,Maui Girl's Mango Pie,"pastry for a double-crust 9-inch pie||4 cups peeled and sliced mango||1/2 cup white sugar||3 tablespoons cornstarch||2 teaspoons lemon juice||1 teaspoon ground cinnamon||1 tablespoon butter, cut into small chunks"
676,Healthy Fish Tacos with Mango Salsa,"1 mango - peeled, seeded, and chopped||2 avocados - peeled, pitted, and chopped||1 cup chopped tomato||1/2 cup diced red onion||1/2 cup diced red pepper||2 tablespoons chopped fresh flat-leaf parsley||2 tablespoons canola oil||2 tablespoons brown sugar||1 lime, juiced||1 teaspoon cider vinegar||1 dash hot pepper sauce, or to taste, salt and ground black pepper to taste||8 taco shells||4 (6 ounce) mahi mahi fillets, cut into 1-inch slices||1 teaspoon ground black pepper||1 teaspoon paprika||1/2 teaspoon salt||2 tablespoons olive oil"
677,Sweet and Kickin' Mango-Habanero Hot Sauce,"2 tablespoons extra virgin olive oil||1 large sweet onion, chopped||7 ripe mangoes, cored and chopped||1 fresh peach, chopped (Optional)||1/3 cup honey||15 habanero peppers, stemmed, or more to taste||1/4 cup yellow mustard||2 1/2 tablespoons salt||2 1/2 tablespoons paprika||1 1/2 tablespoons ground white pepper||1 tablespoon ground cumin||1/3 teaspoon ground allspice||1/4 cup light brown sugar||1 1/2 cups white vinegar||1/2 cup apple cider vinegar"
678,Lela's Protein Mango Smoothie,"1/2 mango, chopped, or more to taste||1/2 cup low-fat vanilla yogurt||1/2 cup almond milk||1/2 cup ice||1 scoop vanilla whey protein powder||1 teaspoon honey, or to taste (Optional)"
679,Spicy Mango Sauce,"3/4 cup finely minced mango||1/4 cup seasoned rice vinegar, juice from one lime||1/2 small Thai chile pepper, minced||1 clove garlic, crushed||1 teaspoon hot chile paste (such as sambal oelek)||1 tablespoon chopped fresh cilantro"
680,Fresh Mango Salsa,"2 cups diced Roma tomatoes||1 1/2 cups diced mango||1/2 cup diced onion||1 teaspoon white sugar||1/2 cup chopped fresh cilantro||2 tablespoons fresh lime juice||1 tablespoon cider vinegar||1/2 teaspoon salt||1/2 teaspoon black pepper||2 cloves garlic, minced"
681,Creamy Mango Smoothie,3/4 cup cold milk||1/4 cup vanilla yogurt||3/4 teaspoon vanilla extract||1 1/2 cups chopped fresh mango||3 ice cubes
682,Easy Mango Cake,1 ripe mango||1 (18.25 ounce) box yellow cake mix||3 eggs||1/2 cup water||1/4 cup vegetable oil||2 tablespoons lime zest
683,Easy Mango Salad,"2 firm green mangoes - peeled, pitted, and cut into matchsticks||1/4 purple onion, thinly sliced||1/4 red bell pepper, thinly sliced||3 sprigs cilantro, or more to taste, leaves removed and stems discarded||2 tablespoons lime juice||2 tablespoons fish sauce||1 tablespoon brown sugar||1 tablespoon crushed peanuts"
684,Mango Sorbet,"4 mangos - peeled, seeded, and cubed||1 cup simple syrup||3 tablespoons fresh lime juice"
685,Delightfully Exotic Mango Cake,"1 1/2 cups canned sweetened mango pulp||1 cup white sugar||1/2 cup margarine||2 medium eggs||2 cups all-purpose flour||1 teaspoon baking powder||1 teaspoon baking soda||2 tablespoons whole almonds, or as desired (Optional)"
